id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50867363,Roof terrace apartment in vibrant Bristol location,51686051,Michael,,Ashley,51.47459,-2.59057,Entire home/apt,60,21,2,2021/8/31,0.76,11,22,2,
50868065,St Paulï¿½ï¿½ï¿½s Suites - Apart,236481623,Mairead,,Ashley,51.46677,-2.57846,Entire home/apt,144,1,3,2021/10/8,3,19,251,3,
50883021,Your Apartment The Clarence - No.2,125651447,Your Apartment,,Clifton,51.45741,-2.60864,Entire home/apt,151,1,0,,,59,295,0,
50883162,Your Apartment Dover Place - No.3,125651447,Your Apartment,,Central,51.45638,-2.60723,Entire home/apt,205,1,0,,,59,338,0,
50892654,Modern and Stylish Bristol Apartment,181924088,Guy,,Bedminster,51.43732,-2.6032,Entire home/apt,186,2,2,2021/8/8,0.7,1,335,2,
50895262,Clean & stylish apartment with double room,149833890,Jeet,,Hartcliffe & Withywood,51.40757,-2.62203,Private room,30,3,1,2021/9/12,0.68,3,336,1,
50905902,Family home with space & great location,65192629,Hopewell,,Redland,51.47963,-2.60455,Entire home/apt,156,5,3,2021/8/30,1.14,141,0,3,
50907359,Clifton Garden Flat - 1 min from Suspension Bridge,312176023,Joni,,Clifton,51.45628,-2.62233,Entire home/apt,46,2,23,2021/10/7,23,1,21,23,
50957517,Private double in Edwardian townhouse (Room 3),30898394,Matt,,Frome Vale,51.48248,-2.526,Private room,36,1,23,2021/10/4,7.93,2,56,23,
50965910,Modern apartment in a Georgian period town house.,394002351,Graham,,Clifton,51.45546,-2.61359,Entire home/apt,144,2,0,,,1,316,0,
50969384,Stunning Top Floor Flat in Clifton Crescent,49436089,Henrique,,Clifton,51.45351,-2.61941,Entire home/apt,190,2,5,2021/10/17,1.9,2,18,5,
51012006,Luxury modern 3 bed flat in beautiful Clifton,412680298,Natasha,,Clifton Down,51.46786,-2.61528,Entire home/apt,199,1,9,2021/10/3,3.18,1,23,9,
51023144,Cheerful 3 bedroom home with fireplace and patio,412779819,Pedro,,Stoke Bishop,51.48503,-2.64467,Entire home/apt,215,2,10,2021/10/10,3.23,1,354,10,
51035160,"Bright double bedroom,  private bathroom, new home",32927703,Tom,,Bishopsworth,51.42792,-2.61212,Private room,54,1,0,,,1,71,0,
51043902,Open plan 2 bedroom bungalow with private veranda,4965236,Lucie,,Eastville,51.48237,-2.55286,Entire home/apt,149,2,0,,,1,27,0,
51046227,Modern 2 Bed Flat in the heart of Bristol w/ wifi,412719225,Ping,,Central,51.45552,-2.59504,Entire home/apt,105,3,2,2021/10/10,0.63,1,155,2,
51085451,"Two bed, spacious flat by Temple Meads",147960157,Gary,,Central,51.44714,-2.58538,Entire home/apt,145,3,4,2021/9/19,1.67,3,86,4,
51100958,Perfect location,5567174,Nigit,,Central,51.45617,-2.60648,Private room,63,2,0,,,2,314,0,
51100977,Beautiful bright double  in bohemian Montpelier,24365222,Liz,,Ashley,51.46589,-2.58657,Private room,58,2,8,2021/10/15,2.79,1,145,8,
51119304,"Self contained flat, easy commute to City UWE hosp",254358117,Sherry,,Frome Vale,51.48962,-2.53685,Entire home/apt,62,1,16,2021/10/22,6.08,1,266,16,
